CUI,Description,DescriptionSource,Description-GPT
C0037303,The SKELETON of the HEAD including the FACIAL BONES and the bones enclosing the BRAIN.,MSH,"The image shows the skull, facial bones, and brain-enclosing bones."
C0027551,Sharp instruments used for puncturing or suturing.,MSH,"Small, pointed, and metallic tools used for piercing or stitching wounds in medical procedures."
C0027627,The transfer of a neoplasm from one organ or part of the body to another remote from the primary site.,MSH,Metastasis is the spread of cancer cells from the primary site to distant organs or tissues.
C0140145,"DNA-(apurinic or apyrimidinic site) lyase (318 aa, ~36 kDa) is encoded by the human APEX1 gene. This protein plays a role in both DNA repair and the regulation of transcription.",NCI,DNA-(apurinic or apyrimidinic site) lyase is a 318 aa protein encoded by APEX1 gene involved in DNA repair/transcription regulation.
C0018787,"The hollow, muscular organ that maintains the circulation of the blood.",MSH,"The heart, a vital organ responsible for pumping blood throughout the body, is hollow, muscular, and crucial for survival."
C0023128,"A country located in Eastern Europe, bordering the Baltic Sea, between Estonia and Lithuania. The capital is Riga.",MSH,"Latvia is a Baltic country in Eastern Europe with Riga as its capital, known for its rich cultural heritage."
C0001779,How long something has existed; elapsed time since birth.,NCI,"The image shows a timeline of medical advancements from past to present, illustrating the concept of medical evolution over time."
C0205271,Lacking perfect symmetry or evenness.,NCI,"Asymmetry present in medical image, indicating unevenness or lack of perfect symmetry in the structure being observed."
C0333307,None,None,None
C0543467,"Operations carried out for the correction of deformities and defects, repair of injuries, and diagnosis and cure of certain diseases. (Taber, 18th ed.).",MSH,"Medical surgeries are performed to correct deformities, injuries, and diseases for diagnosis, repair, and cure purposes."
C4086564,The pressure and/or displacement of adjacent tissues that results from the growth of a mass.,NCI,Pressure and displacement of tissues from mass growth.
C0206054,"Ultrasonic recording of the size, motion, and composition of the heart and surrounding tissues using a transducer placed in the esophagus.",MSH,Highly detailed imaging of the heart and surrounding tissues through the use of an esophageal transducer for ultrasounds.
C0037925,A cylindrical column of tissue that lies within the vertebral canal. It is composed of WHITE MATTER and GRAY MATTER.,MSH,"The spinal cord contains white and gray matter within the vertebral canal, forming a cylindrical column of tissue."
C0043210,"Human females as cultural, psychological, sociological, political, and economic entities.",MSH,The image shows a complex and multifaceted representation of human females in various aspects of society.
C0022646,Body organ that filters blood for the secretion of URINE and that regulates ion concentrations.,MSH,"The organ is responsible for filtering blood, regulating ion concentrations, and producing urine."
C1280412,"Wide in width, extent or cross-section.",NCI,"The medical keyword is describing something that is broad or extensive in size, width, or cross-section."
C0024687,The largest and strongest bone of the FACE constituting the lower jaw. It supports the lower teeth.,MSH,The mandible is a key facial bone that provides support and strength for the lower teeth in the jawbone.
C0019409,The quality or state of consisting of elements that are not of the same kind or nature.,NCI,"The image shows a diverse range of medical tools and equipment, illustrating heterogeneity in the field of medicine."
C0589120,None,None,None
C0018944,"A collection of blood outside the BLOOD VESSELS. Hematoma can be localized in an organ, space, or tissue.",MSH,"Collection of blood outside blood vessels; can be found in organ, space, or tissue. Aka hematoma."
C0042458,The venous trunk which receives blood from the lower extremities and from the pelvic and abdominal organs.,MSH,"Receives blood from lower extremities, pelvic, and abdominal organs."
C1261075,The lobe of the right lung situated below the oblique fissure.,NCI,"Lower lobe of right lung is below oblique fissure"
C0301630,A chemical reaction that results in a gain of electrons by one of the chemical species involved in the reaction.,NCI,"Oxidation is a chemical process where one substance gains electrons, altering its charge and reactivity in the reaction."
C1261381,Eradicating all or a portion of a body part,SNOMEDCT_US,This process is usually done to remove diseased tissue or organs in order to improve a patient's health.
C0015813,"The hemispheric articular surface at the upper extremity of the thigh bone. (Stedman, 26th ed)",MSH,"The femoral head is the hemispheric upper extremity of the thigh bone, essential for hip joint movement."
C0443285,None,None,None
C0011923,"Any visual display of structural or functional patterns of organs or tissues for diagnostic evaluation. It includes measuring physiologic and metabolic responses to physical and chemical stimuli, as well as ultramicroscopy.",MSH,"Visual display of organs or tissues for diagnostic evaluation, utilizing physiologic and metabolic measurements and ultramicroscopy for analysis."
C1261316,A coronary artery that originates above the right coronary cusp and supplies blood predominantly to the right side of the heart.,NCI,Supplies blood to right side of heart; originates above right coronary cusp. None.
C0445204,Relating to or occurring during the period immediately before a surgical operation.,NCI,Preoperative: Related to events before surgery.
C0444708,None,None,None
C0040426,One of a set of bone-like structures in the mouth used for biting and chewing.,MSH,"The image shows a set of tooth-like structures in the mouth, used for biting and chewing."
C0242485,Annotation used to indicate the size or magnitude of something that was determined by comparison to a standard.,NCI,"The medical keyword describes annotations indicating size or magnitude compared to a standard, providing measurement information."
C1261077,"The larger lobe of the left lung, situated below and behind the oblique fissure.",NCI,The left lower lobe is smaller than the upper lobe and sits below the oblique fissure in the lung.
C2607943,None,None,None
C0038351,An organ of digestion situated in the left upper quadrant of the abdomen between the termination of the ESOPHAGUS and the beginning of the DUODENUM.,MSH,The stomach is a digestive organ located in the left upper abdomen; it connects the esophagus to the duodenum.
C0332459,None,None,None.
C0037949,The spinal or vertebral column.,MSH,The image shows a detailed view of the spinal column.
C0003842,The vessels carrying blood away from the heart.,MSH,Blood vessels transporting oxygenated blood from the heart can be described as arteries and are typically high pressure vessels.
C0087086,None,None,None
C0006888,"An Australian-administered island in the eastern Indian Ocean south of Java, Indonesia.",NCI,"Island location in eastern Indian Ocean, south of Java, under Australian administration."
C0205082,Used to describe tumor samples that exhibit poorly differentiated or undifferentiated cells. They are generally expected to be fast growing and aggressive.,NCI,"Highly aggressive and fast growing tumor cells, likely exhibiting poor differentiation or undifferentiation."
C0018800,"Enlargement of the HEART, usually indicated by a cardiothoracic ratio above 0.50. Heart enlargement may involve the right, the left, or both HEART VENTRICLES or HEART ATRIA. Cardiomegaly is a nonspecific symptom seen in patients with chronic systolic heart failure (HEART FAILURE) or several forms of CARDIOMYOPATHIES.",MSH,"Enlargement of the heart, indicated by increased cardiothoracic ratio, seen in patients with chronic heart failure or cardiomyopathies."
C0871362,None,None,None
C0205251,"A minimum level or position or degree; less than normal in degree, intensity or amount.",NCI,"The patient's blood pressure was low, indicating a hypotensive state. None."
C1511606,A pathologic process that contains a single or multiple sac-like spaces.,NCI,"The image shows a lesion with one or more sac-like spaces, indicating a possible cystic structure."
C0008310,"Fiberoptic endoscopy designed for duodenal observation and cannulation of VATER'S AMPULLA, in order to visualize the pancreatic and biliary duct system by retrograde injection of contrast media. Endoscopic (Vater) papillotomy (SPHINCTEROTOMY, ENDOSCOPIC) may be performed during this procedure.",MSH,"Diagnostic fiberoptic duodenoscopy for visualizing and cannulating Vater's ampulla, allowing retrograde contrast injection for pancreatic and biliary duct evaluation."
C0030288,Ducts that collect PANCREATIC JUICE from the PANCREAS and supply it to the DUODENUM.,MSH,A system of ducts that transport pancreatic juice from the pancreas to the duodenum for digestion.
C0332448,The process of the diffusion or accumulation in a tissue or cells of a substance not normal to it or in amounts above normal. (NCI),NCI,"Abnormal substance accumulation or diffusion in tissue or cells, exceeding normal amounts."
C0013516,"Ultrasonic recording of the size, motion, and composition of the heart and surrounding tissues. The standard approach is transthoracic.",MSH,This medical keyword refers to non-invasive imaging of the heart and surrounding tissues using ultrasound technology.
C0040578,The cartilaginous and membranous tube descending from the larynx and branching into the right and left main bronchi.,MSH,The trachea is a rigid structure lined with cilia that helps to filter and moisten air as it passes through.
C1269955,"The local spread of tumor cells of a malignant neoplasm through infiltration or destruction of adjacent tissue; for epithelial neoplasms, invasion signifies infiltration beneath the epithelial basement membrane.",NCI,"Tumor cells spreading within nearby tissues, infiltrating or destroying them, particularly beneath epithelial basement membranes. (None)"
C0150312,Being or existing in a specified place or at the specified time.,NCI,"The patient is located in the emergency room, receiving treatment for a medical condition."
C0015252,The surgical removal of an organ or a part of an organ.,NCI,"The surgical removal of an organ involves precision, expertise, and care to ensure the patient's well-being and outcomes."
C0079946,"System of classification based on nation from which a person originates, regardless of the nation in which he/she currently resides.",NCI,"Classification system based on a person's country of origin, regardless of current residence."
C1627358,None,None,None
C0332197,Not existing in a specified place at a specified time.,NCI,This keyword likely refers to a condition or symptom that is temporary or intermittent in nature.
C4725622,"Terminology subset about descriptions of the timing by which an active ingredient is made available in the body after administration of the pharmaceutical product, in comparison with a conventional, direct release of the active ingredient.",NCI,This keyword focuses on the timing of active ingredient release in the body after drug administration.
C0205095,Denoting the back surface of the body; at or near the hind end in quadrupeds or toward the spine in primates.,NCI,"The image shows the posterior aspect of the body, emphasizing the back surface or proximity to the spine."
C0223084,Main portion of the vertebra which bears majority of the weight.,MSH,"Vertebral body, large, weight-bearing, mostly solid bone structure. None."
C0006660,Process by which organic tissue becomes hardened by the physiologic deposit of calcium salts.,MSH,"Calcification is the hardening of tissue through the deposit of calcium salts."
C0021852,"The portion of the GASTROINTESTINAL TRACT between the PYLORUS of the STOMACH and the ILEOCECAL VALVE of the LARGE INTESTINE. It is divisible into three portions: the DUODENUM, the JEJUNUM, and the ILEUM.",MSH,"The small intestine is a vital part of the digestive system, consisting of the duodenum, jejunum, and ileum."
C0034579,"Extraoral body-section radiography depicting an entire maxilla, or both maxilla and mandible, on a single film.",MSH,Extraoral radiography displays full view of maxilla or both maxilla and mandible on single film for detailed examination.
C0038257,Devices that provide support for tubular structures that are being anastomosed or for body cavities during skin grafting.,MSH,These devices offer stability for tubular structures or body cavities during procedures like anastomosis or skin grafting.
C2945706,None,None,None
C0032718,A short thick vein formed by union of the superior mesenteric vein and the splenic vein.,MSH,The image shows a short thick vein formed by the superior mesenteric vein and splenic vein union.
C0441635,One of the parts into which something naturally divides.,NCI,"This keyword pertains to the division of a larger entity into smaller parts, typically seen in medical analysis or anatomy."
C0085590,"A flexible, tubular device that is used to carry fluids into or from a blood vessel, hollow organ, or body cavity.",MSH,This device is typically made of plastic or silicone and can vary in size and flexibility.
C1881065,The quality or state of being similar or comparable in kind or nature or of being uniform throughout in composition or structure.,NCI,None
C0042149,"The hollow thick-walled muscular organ in the female PELVIS. It consists of the fundus which is the site of EMBRYO IMPLANTATION and FETAL DEVELOPMENT. Beyond the isthmus at the perineal end of fundus, is CERVIX UTERI (the neck) opening into VAGINA. Beyond the isthmi at the upper abdominal end of fundus, are the FALLOPIAN TUBES.",MSH,"The uterus is a female reproductive organ with a thick muscular wall, used for embryo implantation and fetal development."
C0023031,"The prototypical element in the rare earth family of metals. It has the atomic symbol La, atomic number 57, and atomic weight 138.91. Lanthanide ion is used in experimental biology as a calcium antagonist; lanthanum oxide improves the optical properties of glass.",MSH,"Lanthanide metal, atomic symbol La, 57 atomic number, 138.91 atomic weight, experimental biology use as calcium antagonist, optically affects glass."
C0028778,Blockage of the normal flow of the contents of an anatomical passageway.,NCI,"Obstruction in natural flow within a body passage."
C0700124,The condition of being dilated or stretched.,NCI,"The image showcases an organ appears enlarged or expanded, indicating a potential medical condition."
C0543419,"A pathologic condition that results from a disease, treatment, or injury.",NCI,"The image shows the appearance of a pathologic condition resulting from a disease, treatment, or injury."
C0037922,The cavity within the SPINAL COLUMN through which the SPINAL CORD passes.,MSH,The spinal canal is a hollow space that houses and protects the spinal cord running through the spinal column.
C0005975,Specialized devices used in ORTHOPEDIC SURGERY to repair bone fractures.,MSH,"Innovative instruments, precision tools, and customizable hardware are utilized for intricate bone fixation in Orthopedic Surgery procedures."
C0225860,"One of four chambers of the heart, which receives blood from the pulmonary veins and pumps blood through the mitral valve into the left ventricle.",NCI,"Receives blood from the pulmonary veins, pumps through mitral valve into left ventricle, part of the heart's circulatory system."
C0442800,None,None,None
C0392747,The act of alteration or modification; changed or altered in form or character.,NCI,"The image showcases the transformation of a medical procedure, displaying changes in form and character."
C0868928,None,None,None
C0003489,"The curved section of the aorta between the ascending and the descending tracts. The brachiocephalic, left common carotid and left subclavian arteries branch from the aorta at this section.",NCI,"Curved section of aorta with branching arteries including brachiocephalic, left common carotid, and left subclavian arteries."
C0205322,Retained; never-ceasing.,NCI,"The image shows a persisting, continuous presence of a retained object in a medical setting."
C0227481,The larger lobe of the liver extending into the right side of the body.,NCI,The right lobe of the liver is larger and extends into the right side of the body.
C0332555,None,None,None
C0449450,To show or display; the act of presenting something to sight or view: how something looks.,NCI,The image characteristics display the physical appearance or visual representation of the medical keyword being presented.
C0013303,The shortest and widest portion of the SMALL INTESTINE adjacent to the PYLORUS of the STOMACH. It is named for having the length equal to about the width of 12 fingers.,MSH,The duodenum is a short and wide section of the small intestine located near the stomach's pylorus.
C0449468,The amount of three dimensional space occupied by an object or the capacity of a space or container.,NCI,"Volume refers to the amount of space an object occupies, or the capacity of a container holding a substance."
C0549183,"A medial line, especially the medial line or medial plane of the body (or some part of the body).",NCI,"The image depicts an anatomical structure highlighted by a medial line, providing a clear focus on the body's midline."
C0011980,The musculofibrous partition that separates the THORACIC CAVITY from the ABDOMINAL CAVITY. Contraction of the diaphragm increases the volume of the thoracic cavity aiding INHALATION.,MSH,"The diaphragm is a musculofibrous partition that separates the thoracic cavity from the abdominal cavity, aiding in inhalation."
C0027530,The part of a human or animal body connecting the HEAD to the rest of the body.,MSH,The neck is a slender and flexible area of the body that supports the head and allows for movement.
C0450429,"A position, site, or point in space where something can be found.",NCI,The image shows a detailed diagram of specific anatomical landmarks for precise medical procedures.
C0185023,"Acto u operación de sostén, sutura o ajuste en una posición fija",SCTSPA,"The act or operation of supporting, suturing, or adjusting in a fixed position."
C0243144,"The absorption by a tissue of some substance, food material, mineral, etc., and its permanent or temporary retention.",NCI,Tissue absorption and retention of substances.
C0024204,They are oval or bean shaped bodies (1 - 30 mm in diameter) located along the lymphatic system.,MSH,"Small bodies along lymphatic system, 1-30 mm diameter, oval or bean shaped."
C0231448,To increase in length or duration.,NCI,"The patient's recovery showed significant progress, as evidenced by the longitudinal increase in physical strength and endurance."
C0205216,A subjective response indicating that something is or has decreased.,NCI,"Decreased inflammation seen on MRI scan, reduced swelling, no signs of infection or abnormal tissue growth."
C0001861,"The mixture of gases present in the earth's atmosphere consisting of oxygen, nitrogen, carbon dioxide, and small amounts of other gases.",MSH,"The composition of Earth's atmosphere includes oxygen, nitrogen, carbon dioxide, and trace amounts of other gases."
C2349975,To improve the quality of something; make better or more attractive.,NCI,Enhancing the appearance or functionality of a medical product through improvements in quality or performance.
C1707455,The examination of two or more people or things in order to detect similarities and differences.,NCI,Comparison of individuals or objects to identify similarities and differences.
C4028269,None,None,None
C0085532,Radiography of the vascular system of the heart muscle after injection of a contrast medium.,MSH,Visualization of blood flow in the heart using contrast medium injections for vascular system radiography.
C0226032,A left coronary artery branch that descends on the anterior portion of the heart through the anterior interventricular groove.,NCI,Branch of left coronary artery descends anteriorly on heart through interventricular groove.
C0002893,"A severe sometimes chronic anemia, usually macrocytic in type, that does not respond to ordinary antianemic therapy.",MSH,"Severe, chronic, macrocytic anemia that is unresponsive to normal treatment; specialized care may be needed for diagnosis and treatment."
C1260957,"The hue of that portion of the visible spectrum lying between green and indigo, evoked in the human observer by radiant energy with wavelengths of approximately 420 to 490 nanometers; any of a group of colors that may vary in lightness and saturation, whose hue is that of a clear daytime sky.",NCI,"The medical keyword describes a range of colors between green and indigo, reminiscent of a clear daytime sky."
C0309093,None,None,None
C1282914,Extending on all sides of simultaneously; encircling.,NCI,"The tumor appeared to be circumferential, surrounded by healthy tissue on all sides, making surgical removal difficult."
C0227230,The main section of the digestive tube that connects the esophagus to the small intestine. The body proper excludes the upper and lower sections of the fundus and pyloric portion respectively.,NCI,"Main section of digestive tube connecting esophagus to small intestine, excluding upper fundus and lower pyloric portion."
C4551585,Pertaining to a plane containing a line parallel to the long axis of the subject's body and in addition presenting anterior and posterior views on each side of it. This plane is perpendicular to both the transaxial and sagittal.,NCI,The image presents anterior and posterior views on each side of a plane parallel to the body's long axis.
C0549177,"Of considerable or relatively great size, extent, or capacity.",NCI,The image depicts a large medical facility with advanced equipment and spacious rooms for patient care.
C0012817,"A pouch or sac developed from a tubular or saccular organ, such as the GASTROINTESTINAL TRACT.",MSH,A diverticulum is a pouch or sac that protrudes from an organ like the gastrointestinal tract.
C0016542,Inanimate objects that become enclosed in the body.,MSH,"Objects accidentally left inside patient during surgery, leading to infections, pain, and potential organ damage."
C0205307,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance.",NCI,Tissue specimen with normal appearance in pathology. No abnormalities or irregularities observed.
C0376443,An ultrasound administered by using a tube containing flexible fibre optic wires that allows for the analysis of tissues inside the body. Ultrasound technology utilizes high frequency waves and their echoes to produce an image. 2005,NCI,Utilizes high frequency waves and echoes to produce an image of tissues inside the body.
C0018670,"The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.",MSH,"The head is the top part of the body that contains the brain, mouth, and sense organs."
C0205250,An elevated level or position or degree; greater than normal in degree or intensity or amount.,NCI,The image shows a graph with a peak showing abnormal high measurements above the normal range.
C0017110,"The vapor state of matter; nonelastic fluids in which the molecules are in free movement and their mean positions far apart. Gases tend to expand indefinitely, to diffuse and mix readily with other gases, to have definite relations of volume, temperature, and pressure, and to condense or liquefy at low temperatures or under sufficient pressure. (Grant & Hackh's Chemical Dictionary, 5th ed)",MSH,"Gases are nonelastic fluids that expand and diffuse easily, with defined volume, temperature, and pressure relations. Can condense."
C0870221,None,None,None
C0020885,"The distal and narrowest portion of the SMALL INTESTINE, between the JEJUNUM and the ILEOCECAL VALVE of the LARGE INTESTINE.",MSH,"Narrow part of small intestine between jejunum and ileocecal valve."
C0225844,"One of the four chambers of the heart, which is located immediately superior to the right ventricle, and which receives deoxygenated venous blood from the systemic circulation.",NCI,Receives deoxygenated blood from the body and pumps it to the lungs for oxygenation.
C0522501,None,None,None
C0019664,Record and study of past events.,MSH,"The image shows a data analysis graph with charts and tables, illustrating the study and record of past events."
C0733755,"A reference to the alignment of an object, a particular situation or view of a situation, or the location of an object.",NCI,"The medical keyword discusses alignment or positioning of an object, situation, or view without specifying any particular characteristics."
C0442726,"Perceived, discerned, or discovered.",NCI,The characteristics of the image could not be discerned as it appeared blurry and out of focus.
C0444498,"In the natural or normal place, confined to the site of origin without invasion of neighboring tissues.",NCI,The medical keyword describes a condition where abnormal cells remain localized without spreading to nearby tissues.
C0441587,The act of putting one thing into another.,NCI,None
C1261082,A coronary artery that arises from the aorta and bifurcates into the left anterior descending artery and the left circumflex artery.,NCI,The description seems to be discussing the anatomy of the left main coronary artery branching into two arteries.
C0034606,"The production of an image obtained by cameras that detect the radioactive emissions of an injected radionuclide as it has distributed differentially throughout tissues in the body. The image obtained from a moving detector is called a scan, while the image obtained from a stationary camera device is called a scintiphotograph.",MSH,This imaging technique uses radionuclide emissions to create either a scan or scintiphotograph of bodily tissues.
C0002055,"Usually a hydroxide of lithium, sodium, potassium, rubidium or cesium, but also the carbonates of these metals, ammonia, and the amines. (Grant & Hackh's Chemical Dictionary, 5th ed)",MSH,"A range of compounds including hydroxides, carbonates, ammonia, and amines, used in medical applications for various purposes."
C0178587,The amount of something per unit size.,NCI,"The image displays precise measurements of specific substances within a given area, indicating uniform distribution and concentration levels."
C0225730,The 2-lobed lung located on the left side of the body.,NCI,The left lung is smaller than the right lung and has two lobes.
C0442805,"A process of becoming larger, more numerous, more important, or more likely.",NCI,"The image depicts cells proliferating rapidly, filling the frame with a dense and growing cluster of vibrant, active cells."
C1521840,An object fixed as a goal or point of examination; something to point at; a destination.,NCI,"The keyword ""medical"" focuses on a specific object or target for examination, serving as a destination for study."
C0521530,A chest X-ray finding indicating the presence of a radio-opaque area in the lung. The opacification is caused by fluid or solid material within the airways or lung parenchyma.,NCI,Radiopaque area in lung on chest X-ray indicates fluid or solid material in airways or lung parenchyma.
C0225759,None,None,None
C0034573,"Radiographic visualization of the body between the thorax and the pelvis, i.e., within the peritoneal cavity.",MSH,"""Provides detailed images of organs and structures within the peritoneal cavity for diagnostic purposes."""
C0430462,A non-invasive cardiac ultrasound performed by placing the transducer on the chest.,NCI,A non-invasive cardiac ultrasound provides detailed imaging of the heart by using a transducer on the chest.
C0205168,"Narrow in width, extent or cross-section.",NCI,"The image depicts a narrow medical instrument with a limited width, showing detailed cross-sections for precise procedures."
C1521970,"The distinguishing qualities or prominent aspect of a person, object, action, process, or substance.",NCI,This information is not directly related to medical keywords.
C0011334,"Localized destruction of the tooth surface initiated by decalcification of the enamel followed by enzymatic lysis of organic structures and leading to cavity formation. If left unchecked, the cavity may penetrate the enamel and dentin and reach the pulp.",MSH,"Tooth decay is a process of localized destruction of enamel, eventually forming cavities that may penetrate deeper layers."
C0026264,The valve between the left atrium and left ventricle of the heart.,MSH,The mitral valve is present in the heart and controls blood flow between the left atrium and left ventricle.
