CUI,Description,DescriptionSource,Description-GPT
C1510412,"Not an aneurysm but a well-defined collection of blood and CONNECTIVE TISSUE outside the wall of a blood vessel or the heart. It is the containment of a ruptured blood vessel or heart, such as sealing a rupture of the left ventricle. False aneurysm is formed by organized THROMBUS and HEMATOMA in surrounding tissue.",MSH,False aneurysm is a well-defined collection of blood and connective tissue outside a blood vessel or heart wall.
C0040184,"The second longest bone of the skeleton. It is located on the medial side of the lower leg, articulating with the FIBULA laterally, the TALUS distally, and the FEMUR proximally.",MSH,"The tibia is the second longest bone in the body, connecting the knee and ankle joints in the lower leg."
C0442726,"Perceived, discerned, or discovered.",NCI,"Perceived, discerned, or discovered in the medical field summarized briefly."
C0042458,The venous trunk which receives blood from the lower extremities and from the pelvic and abdominal organs.,MSH,The inferior vena cava is a large vein that collects blood from the lower body and abdominal organs.
C0042149,"The hollow thick-walled muscular organ in the female PELVIS. It consists of the fundus which is the site of EMBRYO IMPLANTATION and FETAL DEVELOPMENT. Beyond the isthmus at the perineal end of fundus, is CERVIX UTERI (the neck) opening into VAGINA. Beyond the isthmi at the upper abdominal end of fundus, are the FALLOPIAN TUBES.",MSH,"The uterus is a hollow, muscular organ in the female pelvis where embryo implantation and fetal development occur."
C0205098,Toward the middle or inside (as opposed to lateral).,NCI,The term refers to structures that are situated closer to the center of the body rather than the sides.
C0009368,The segment of LARGE INTESTINE between the CECUM and the RECTUM. It includes the ASCENDING COLON; the TRANSVERSE COLON; the DESCENDING COLON; and the SIGMOID COLON.,MSH,"The part of the large intestine between the cecum and rectum, comprising the ascending, transverse, descending, and sigmoid colon."
C0005847,"Any of the tubular vessels conveying the blood (arteries, arterioles, capillaries, venules, and veins).",MSH,"Blood vessels carry blood throughout the body, including arteries, arterioles, capillaries, venules, and veins, in a complex network."
C0001779,How long something has existed; elapsed time since birth.,NCI,"Duration since inception, indicating length of existence or elapsed time since birth, referred to as age or longevity."
C0220825,"Systematic, objective appraisal of the significance, effectiveness, and impact of activities or condition according to specified objectives and criteria.",NCI,"Evaluating activities or conditions based on set goals and criteria to determine their significance, effectiveness, and impact."
C0524461,None,None,None
C0019080,Bleeding or escape of blood from a vessel.,MSH,"Bleeding is the escape of blood from a vessel, signifying a potential medical emergency that requires prompt attention."
C0021852,"The portion of the GASTROINTESTINAL TRACT between the PYLORUS of the STOMACH and the ILEOCECAL VALVE of the LARGE INTESTINE. It is divisible into three portions: the DUODENUM, the JEJUNUM, and the ILEUM.",MSH,The small intestine is the section of the gastrointestinal tract between the stomach and the large intestine.
C0205251,"A minimum level or position or degree; less than normal in degree, intensity or amount.",NCI,"Medical keyword: Hypo- A term indicating a below-normal level, position, or degree of intensity, quantity, or severity."
C0205145,A position in relation to its surroundings.,NCI,"""Positioning is important in medical procedures to ensure accuracy and effectiveness in relation to the patient's surroundings."""
C1282910,"In anatomy, indicating higher than a given reference point.",NCI,"Above a specific point in the body, this term in anatomy suggests a higher position relative to a reference point."
C1444754,"The linear extent in space from one end of something to the other end, or the extent of something from beginning to end.",NCI,"The length is the measurement from one point to another point, or the distance from start to finish."
C0028778,Blockage of the normal flow of the contents of an anatomical passageway.,NCI,"Obstruction in a passage prevents normal flow of contents, leading to potential complications and health issues in patients."
C0018670,"The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.",MSH,"The head is the upper part of the body, housing the brain, mouth, and sense organs, often separated by a neck."
C0031039,Fluid accumulation within the PERICARDIUM. Serous effusions are associated with pericardial diseases. Hemopericardium is associated with trauma. Lipid-containing effusion (chylopericardium) results from leakage of THORACIC DUCT. Severe cases can lead to CARDIAC TAMPONADE.,MSH,"Fluid accumulation in the pericardium can cause various conditions, including serous effusions, hemopericardium, and chylopericardium, leading to cardiac tamponade."
C0079946,"System of classification based on nation from which a person originates, regardless of the nation in which he/she currently resides.",NCI,"Medical keyword: Nationality-based classification system independent of current residency, based on country of origin."
C0733755,"A reference to the alignment of an object, a particular situation or view of a situation, or the location of an object.",NCI,"The keyword refers to the positioning or orientation of an object, situation, view, or location in a medical context."
C0742919,Computed tomography that uses a contrast agent to visualize anatomic structures.,NCI,CT scan with contrast highlights anatomical structures for enhanced imaging clarity and accuracy.
C0003842,The vessels carrying blood away from the heart.,MSH,Arteries transport oxygen-rich blood away from the heart to nourish the body's cells and tissues.
C0225730,The 2-lobed lung located on the left side of the body.,NCI,The left lung has two lobes and is found on the left side of the body.
C0011980,The musculofibrous partition that separates the THORACIC CAVITY from the ABDOMINAL CAVITY. Contraction of the diaphragm increases the volume of the thoracic cavity aiding INHALATION.,MSH,"The diaphragm is a musculofibrous partition separating the thoracic and abdominal cavities, aiding in inhalation by expanding the thoracic cavity."
C0205081,<p>Indicates the condition may result in noticable adverse adverse consequences but is unlikely to be life-threatening or cause permanent injury.</p>,HL7V3.0,Condition has potential for noticeable negative effects but is not life-threatening or permanently harmful.
C0332575,None,None,None
C0870221,None,None,None
C0015811,"The longest and largest bone of the skeleton, it is situated between the hip and the knee.",MSH,The femur is the largest and longest bone located between the hip and knee in the human skeleton.
C0015813,"The hemispheric articular surface at the upper extremity of the thigh bone. (Stedman, 26th ed)",MSH,The upper end of the thigh bone has a rounded surface that forms the hip joint socket.
C0024204,They are oval or bean shaped bodies (1 - 30 mm in diameter) located along the lymphatic system.,MSH,"Oval or bean-shaped bodies, ranging from 1 - 30 mm in diameter, found along the lymphatic system."
C0037925,A cylindrical column of tissue that lies within the vertebral canal. It is composed of WHITE MATTER and GRAY MATTER.,MSH,"The spinal cord is a tissue column containing white and grey matter, located within the vertebral canal."
C0227579,That portion of the pancreas lying in the concavity of the duodenum.,NCI,The portion of the pancreas located in the concavity of the duodenum is called the pancreatic head.
C0003962,Accumulation or retention of free fluid within the peritoneal cavity.,MSH,Excessive free fluid buildup in the abdomen can lead to a condition known as peritoneal effusion.
C0205129,None,None,None
C0012691,Displacement of bones from their normal positions at a joint.,MSH,Dislocation: Bones moving out of their usual place in a joint.
C0746405,None,None,None
C0027551,Sharp instruments used for puncturing or suturing.,MSH,Sharp medical tools for puncturing or stitching wounds are essential for surgical procedures.
C0332479,The spatial arrangement of something as distinct from its substance.,NCI,"Spatial arrangement refers to the physical layout or arrangement of something, separate from the actual material or substance."
C0442800,None,None,None
C0309093,None,None,None
C0185023,"The act or operation of holding, suturing, or fastening in a fixed position",SNOMEDCT_US,"Hold, suture, or fasten something in place to secure it and prevent movement or displacement during a procedure."
C0205250,An elevated level or position or degree; greater than normal in degree or intensity or amount.,NCI,The patient's test results showed that they had an abnormally high level of a certain marker in their blood.
C0034896,"The distal segment of the LARGE INTESTINE, between the SIGMOID COLON and the ANAL CANAL.",MSH,"The distal segment of the large intestine, located between the sigmoid colon and the anal canal, is the rectum."
C0022742,A region of the lower extremity immediately surrounding and including the KNEE JOINT.,MSH,The knee joint area is part of the lower extremity and includes the surrounding region of the leg.
C2349975,To improve the quality of something; make better or more attractive.,NCI,Enhancing the effectiveness of treatments can lead to better outcomes and higher patient satisfaction in medical care.
C0020885,"The distal and narrowest portion of the SMALL INTESTINE, between the JEJUNUM and the ILEOCECAL VALVE of the LARGE INTESTINE.",MSH,The distal narrow part of the small intestine located between the jejunum and the ileocecal valve of the large intestine.
C1261316,A coronary artery that originates above the right coronary cusp and supplies blood predominantly to the right side of the heart.,NCI,A coronary artery above the right coronary cusp primarily supplies blood to the right side of the heart.
C4085887,The maximum volume of gas an individual can inhale from the point of maximal exhalation.,NCI,Maximum inhalation capacity is the highest amount of air a person can inhale after full exhalation.
C4725622,"Terminology subset about descriptions of the timing by which an active ingredient is made available in the body after administration of the pharmaceutical product, in comparison with a conventional, direct release of the active ingredient.",NCI,This subset focuses on the timing of active ingredient release in the body after taking a pharmaceutical product.
C0015965,"The unborn young of a viviparous mammal, in the postembryonic period, after the major structures have been outlined. In humans, the unborn young from the end of the eighth week after CONCEPTION until BIRTH, as distinguished from the earlier EMBRYO, MAMMALIAN.",MSH,"The developed mammalian offspring during the late stages of pregnancy, between the eighth week after conception and birth."
C1261074,"The lobe of the right lung, situated above the horizontal fissure, which includes the apex.",NCI,"The upper part of the right lung, above the horizontal fissure and containing the apex."
C0012725,The process by which an emotional or behavioral response that is appropriate for one situation appears in another situation for which it is inappropriate.,MSH,"Inappropriate emotional or behavioral response occurring in a situation where it is not suitable, known as displacement."
C0037775,"The placement, arrangement of instance of entities within a space.",NCI,The spatial distribution of entities in a given area is known as the arrangement and placement of instances.
C0443285,None,None,None
C0227486,The smaller lobe of the liver extending into the left side of the body.,NCI,The left lobe of the liver is smaller and extends into the left side of the body.
C0003023,"A republic in southern Africa, southwest of DEMOCRATIC REPUBLIC OF THE CONGO and west of ZAMBIA. Its capital is Luanda.",MSH,"Southern African republic with Luanda as capital, bordered by Zambia and Democratic Republic of the Congo in the southwest."
C4028269,None,None,None
C0016542,Inanimate objects that become enclosed in the body.,MSH,"Foreign bodies can become embedded in the body, leading to potential health complications."
C0008310,"Fiberoptic endoscopy designed for duodenal observation and cannulation of VATER'S AMPULLA, in order to visualize the pancreatic and biliary duct system by retrograde injection of contrast media. Endoscopic (Vater) papillotomy (SPHINCTEROTOMY, ENDOSCOPIC) may be performed during this procedure.",MSH,This procedure uses a fiberoptic endoscope to visually examine and access Vater's ampulla for pancreatic and biliary duct evaluation.
C0205126,Parallel to or in the plane of the horizon.,NCI,The position of the body or a body part that is level with or parallel to the ground.
C0600644,Items gathered and assembled in some order to facilitate access or use.,MSH,Medical supplies organized and arranged for easy access and use.
C0728938,Being or affecting only a part of something.,NCI,Partial or localized condition or effect; not involving the entire body or system.
C0017110,"The vapor state of matter; nonelastic fluids in which the molecules are in free movement and their mean positions far apart. Gases tend to expand indefinitely, to diffuse and mix readily with other gases, to have definite relations of volume, temperature, and pressure, and to condense or liquefy at low temperatures or under sufficient pressure. (Grant & Hackh's Chemical Dictionary, 5th ed)",MSH,"Gases are nonelastic fluids with molecules in free movement, expanding, diffusing, and condensing at low temperatures or pressure."
C1457869,A failing or deficiency.,NCI,A failing or deficiency refers to a lack or decline in a particular aspect of health or function.
C0449468,The amount of three dimensional space occupied by an object or the capacity of a space or container.,NCI,Volume is the measure of space an object occupies or the capacity of a container.
C0543419,"A pathologic condition that results from a disease, treatment, or injury.",NCI,"An abnormal state caused by a illness, therapy, or trauma."
C0002055,"Usually a hydroxide of lithium, sodium, potassium, rubidium or cesium, but also the carbonates of these metals, ammonia, and the amines. (Grant & Hackh's Chemical Dictionary, 5th ed)",MSH,"Commonly used alkali substances for medical purposes include lithium, sodium, potassium, rubidium, cesium hydroxides, carbonates, ammonia, and amines."
C0040132,"A highly vascularized endocrine gland consisting of two lobes joined by a thin band of tissue with one lobe on each side of the TRACHEA. It secretes THYROID HORMONES from the follicular cells and CALCITONIN from the parafollicular cells thereby regulating METABOLISM and CALCIUM level in blood, respectively.",MSH,The thyroid gland is a highly vascularized endocrine organ that regulates metabolism with thyroid hormones and calcium levels with calcitonin.
C0000768,Malformations of organs or body parts during development in utero.,MSH,"Organ or body part abnormalities during fetal development result in malformations, affecting overall health and functioning post-birth."
C0013931,"A method of hemostasis utilizing various agents such as Gelfoam, silastic, metal, glass, or plastic pellets, autologous clot, fat, and muscle as emboli. It has been used in the treatment of spinal cord and INTRACRANIAL ARTERIOVENOUS MALFORMATIONS, renal arteriovenous fistulas, gastrointestinal bleeding, epistaxis, hypersplenism, certain highly vascular tumors, traumatic rupture of blood vessels, and control of operative hemorrhage.",MSH,This medical method uses different agents to stop bleeding and treat various conditions by blocking blood vessels.
C0441587,The act of putting one thing into another.,NCI,Insertion is the process of placing one substance or object inside another.
C0024091,VERTEBRAE in the region of the lower BACK below the THORACIC VERTEBRAE and above the SACRAL VERTEBRAE.,MSH,"The vertebral region in the lower back, between the thoracic and sacral vertebrae, is known as the vertebrae."
C0449719,One of the portions into which something is regarded as divided and which together constitute a whole.,NCI,"A medical keyword that refers to divisions within a whole entity, each contributing to the overall structure or function."
C0332555,None,None,None
C1521970,"The distinguishing qualities or prominent aspect of a person, object, action, process, or substance.",NCI,The defining characteristics of something that set it apart or make it stand out in some way.
C0223084,Main portion of the vertebra which bears majority of the weight.,MSH,The main portion of the vertebrae that supports the majority of the body's weight is known as the body.
C0030288,Ducts that collect PANCREATIC JUICE from the PANCREAS and supply it to the DUODENUM.,MSH,Pancreatic ducts transport pancreatic juice from the pancreas to the small intestine for digestion.
C0041951,One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,MSH,"These tubes transport urine from the kidney pelvis to the urinary bladder, serving as pathways for waste elimination."
C0178587,The amount of something per unit size.,NCI,"Quantity of a substance measured in relation to a specific area or volume, indicating potency or concentration."
C0678594,The components and their relationship and manner of arrangement in constituting a whole.,NCI,The organization and connection of parts in creating a complete entity is crucial for medical understanding and treatment.
C0227391,A segment of the COLON between the RECTUM and the descending colon.,MSH,The sigmoid colon is the segment of the colon located between the rectum and the descending colon.
C1282914,Extending on all sides of simultaneously; encircling.,NCI,"The tumor was found to be diffuse, surrounding vital organs and requiring extensive surgery for removal."
C0444764,None,None,None
C0205106,"refers to a cross-sectional view of the brain commonly presented in illustrations of its internal structure. Roughly speaking, the term refers to a horizontal plane that extends from the front to the back of the brain. For a more precise definition of its use in BrainInfo see \"" plane of section \"". For a comprehensive review and discussion of uses of this and related terms by different authors, see ( Anthoney-1994 ).",NEU,This keyword describes a horizontal view of the brain's internal structure from front to back in illustrations.
C1261075,The lobe of the right lung situated below the oblique fissure.,NCI,"The lower right lung lobe, located beneath the oblique fissure, is described in this medical keyword."
C1269955,"The local spread of tumor cells of a malignant neoplasm through infiltration or destruction of adjacent tissue; for epithelial neoplasms, invasion signifies infiltration beneath the epithelial basement membrane.",NCI,Tumor cells invading nearby tissues indicate the spread of malignant neoplasm through infiltration and destruction.
C0036037,"Five fused VERTEBRAE forming a triangle-shaped structure at the back of the PELVIS. It articulates superiorly with the LUMBAR VERTEBRAE, inferiorly with the COCCYX, and anteriorly with the ILIUM of the PELVIS. The sacrum strengthens and stabilizes the PELVIS.",MSH,The sacrum is a triangular bone at the base of the spine that connects with the lumbar vertebrae and pelvis.
C4551585,Pertaining to a plane containing a line parallel to the long axis of the subject's body and in addition presenting anterior and posterior views on each side of it. This plane is perpendicular to both the transaxial and sagittal.,NCI,"A plane that is parallel to the body's long axis, with anterior and posterior views on each side."
C0225759,None,None,None
C0036974,A pathological condition manifested by failure to perfuse or oxygenate vital organs.,MSH,"This condition results in inadequate oxygen delivery to vital organs, leading to organ dysfunction and potentially life-threatening complications."
C1261077,"The larger lobe of the left lung, situated below and behind the oblique fissure.",NCI,The left lower lobe of the lung is situated below and behind the oblique fissure.
C0140145,"DNA-(apurinic or apyrimidinic site) lyase (318 aa, ~36 kDa) is encoded by the human APEX1 gene. This protein plays a role in both DNA repair and the regulation of transcription.",NCI,DNA lyase is a protein encoded by APEX1 gene involved in DNA repair and transcription regulation.
C1261381,Eradicating all or a portion of a body part,SNOMEDCT_US,"Removal of a body part or tissue to eliminate disease or dysfunction, such as during surgery or amputation."
C0008059,"A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL.",MSH,"Child, preschool refers to an individual aged 2 to 5 years, while child denotes someone between 6 and 12 years old."
C0007806,A watery fluid that is continuously produced in the CHOROID PLEXUS and circulates around the surface of the BRAIN; SPINAL CORD; and in the CEREBRAL VENTRICLES.,MSH,"Continuous production of watery fluid in the choroid plexus circulates around the brain, spinal cord, and cerebral ventricles."
C0430462,A non-invasive cardiac ultrasound performed by placing the transducer on the chest.,NCI,Non-invasive cardiac ultrasound uses a chest transducer to examine the heart without surgery or incisions.
C4086564,The pressure and/or displacement of adjacent tissues that results from the growth of a mass.,NCI,Adjacent tissue pressure or displacement caused by mass growth leads to discomfort and potential complications.
C1707455,The examination of two or more people or things in order to detect similarities and differences.,NCI,Comparing multiple individuals or objects to identify similarities and differences is essential in medical evaluation and diagnosis.
C0019664,Record and study of past events.,MSH,"The medical keyword entails studying and analyzing historical events, typically related to patient records and medical history."
C0032326,"An accumulation of air or gas in the PLEURAL CAVITY, which may occur spontaneously or as a result of trauma or a pathological process. The gas may also be introduced deliberately during PNEUMOTHORAX, ARTIFICIAL.",MSH,"Collection of air in pleural cavity, may be spontaneous, traumatic, or pathological. Can also be introduced deliberately during pneumothorax."
C0442805,"A process of becoming larger, more numerous, more important, or more likely.",NCI,"The keyword describes a progression where something increases in size, quantity, importance, or likelihood over time."
C0024947,"One of a pair of irregularly shaped bones that form the upper jaw. A maxillary bone provides tooth sockets for the superior teeth, forms part of the ORBIT, and contains the MAXILLARY SINUS.",MSH,"Maxillary bones make up the upper jaw, house tooth sockets, contribute to the eye orbit, and contain maxillary sinuses."
C0205396,The procedure of having an identity established.,NCI,Establishing identity is the process of verifying one's personal information for medical purposes.
C0449584,None,None,None
C0868928,None,None,None
C0205148,The extended two-dimensional outer boundary of a three-dimensional object.,NCI,The outer surface area of a three-dimensional object projected onto a two-dimensional plane is known as boundary.
C0205266,Undamaged in any way; whole.,NCI,"The keyword ""intact"" means completely undamaged or unharmed, without any changes or impairments."
C0392760,To be influenced by or changed.,NCI,"Medical conditions are often heavily impacted by outside factors, such as genetics, lifestyle choices, and environmental exposures."
C0035561,"A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs.",MSH,The rib cage consists of twelve curved bones that protect the internal thoracic organs and connect to the spine.
C0013687,"A collection of fluid in a body cavity, which may be the result of a non-neoplastic disorder (e.g. heart failure) or a tumor (e.g. carcinoma of the lung).",NCI,Accumulation of fluid in body cavities can be caused by non-neoplastic disorders like heart failure or lung carcinoma.
C0019552,"The projecting part on each side of the body, formed by the side of the pelvis and the top portion of the femur.",MSH,"The hip joint is formed by the pelvis and femur, creating a projection on each side of the body."
C0205231,"Large in quantity, range, or spatial extent.",NCI,The medical keyword refers to a significant amount or wide distribution of a particular factor or condition.
C0018800,"Enlargement of the HEART, usually indicated by a cardiothoracic ratio above 0.50. Heart enlargement may involve the right, the left, or both HEART VENTRICLES or HEART ATRIA. Cardiomegaly is a nonspecific symptom seen in patients with chronic systolic heart failure (HEART FAILURE) or several forms of CARDIOMYOPATHIES.",MSH,"Heart enlargement, indicated by cardiothoracic ratio above 0.50, affects both ventricles or atria, seen in heart failure or cardiomyopathies."
C0444498,"In the natural or normal place, confined to the site of origin without invasion of neighboring tissues.",NCI,"Medical keyword: Localized - confined to the original site, not spreading to nearby tissues, and remaining in its natural position."
C0032961,"The status during which female mammals carry their developing young (EMBRYOS or FETUSES) in utero before birth, beginning from FERTILIZATION to BIRTH.",MSH,"Female mammals carry developing young in utero from fertilization to birth, known as the gestational period or pregnancy."
C0037922,The cavity within the SPINAL COLUMN through which the SPINAL CORD passes.,MSH,The spinal canal is the space within the spinal column where the spinal cord runs through.
C0024957,The air space located in the body of the MAXILLARY BONE near each cheek. Each maxillary sinus communicates with the middle passage (meatus) of the NASAL CAVITY on the same side.,MSH,The maxillary sinus is an air space near the cheek that connects to the nasal cavity on the same side.
C0040300,"Collections of differentiated CELLS, such as EPITHELIUM; CONNECTIVE TISSUE; MUSCLES; and NERVE TISSUE. Tissues are cooperatively arranged to form organs with specialized functions such as RESPIRATION; DIGESTION; REPRODUCTION; MOVEMENT; and others.",MSH,"Differentiated cells form tissues which collaborate to create specialized organs involved in respiration, digestion, reproduction, movement, and more."
C1260957,"The hue of that portion of the visible spectrum lying between green and indigo, evoked in the human observer by radiant energy with wavelengths of approximately 420 to 490 nanometers; any of a group of colors that may vary in lightness and saturation, whose hue is that of a clear daytime sky.",NCI,"This medical keyword describes the color range between green and indigo, typically associated with a clear daytime sky."
C0226054,A blood vessel arising from the bifurcation of the pulmonary artery that carries deoxygenated blood to the right lung.,NCI,Branch of the pulmonary artery taking deoxygenated blood to the right lung; arising from the artery's bifurcation in the heart.
C0521104,None,None,None
C0034573,"Radiographic visualization of the body between the thorax and the pelvis, i.e., within the peritoneal cavity.",MSH,"Radiographic imaging reveals the body's peritoneal cavity, extending from the thorax to the pelvis."
C0205168,"Narrow in width, extent or cross-section.",NCI,"The medical keyword is ""narrow"", which means something is limited in width, extent, or cross-section."
C0005975,Specialized devices used in ORTHOPEDIC SURGERY to repair bone fractures.,MSH,Orthopedic surgery relies on specialized devices to repair bone fractures in the operating room.
C0034897,Happening again (especially at regular intervals).,NCI,"Recurring regularly, an event or condition that happens again and again, often at consistent intervals."
C0522510,"The degree or magnitude of strength, energy, or feeling.",NCI,"The intensity of a person's physical, mental, or emotional state is determined by their strength, energy, and feelings."
C0220781,"Formation of a chemical compound by enzymes, either in the organism (in vivo) or by fragments or extracts of cells (in vitro).",NCI,Chemical compound formed by enzymes inside the body or in cell fragments or extracts outside the body.
C0746408,None,None,None
C0006888,"An Australian-administered island in the eastern Indian Ocean south of Java, Indonesia.",NCI,"An Australian-administered island in the eastern Indian Ocean south of Java, Indonesia is located in the southern hemisphere."
C0441994,The bottom one of two.,NCI,Inferior - located below or under another structure or position; the bottom one of two.
C0205101,"Happening or arising or located outside or beyond some limits, or especially, some surface.",NCI,"Occurring beyond the boundaries or surface, this term denotes something happening or arising outside the normal limits."
C0008972,"A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans.",MSH,"This medical keyword describes studies that evaluate interventions or exposures on health outcomes, including clinical trials."
C1261082,A coronary artery that arises from the aorta and bifurcates into the left anterior descending artery and the left circumflex artery.,NCI,"""Aorta branch supplying the left anterior descending and left circumflex arteries, called coronary artery."""
C0032718,A short thick vein formed by union of the superior mesenteric vein and the splenic vein.,MSH,A dense vein resulting from the combination of the superior mesenteric and splenic veins.
C0040053,Formation and development of a thrombus or blood clot in BLOOD VESSELS.,MSH,Formation and growth of a blood clot within blood vessels is known as thrombus or thrombosis.
C1521840,An object fixed as a goal or point of examination; something to point at; a destination.,NCI,The medical keyword refers to a specific point or goal that serves as a focal point for examination.
C2827628,A specific area of interest defined by a sequence of image overlays or a sequence of contours described as a single point (for a point ROI) or more than one point (representing and open or closed polygon).,NCI,A medical keyword defining a specific area of interest using image overlays or contours with single or multiple points.
C0549099,A hole or opening made through a membrane or other tissue or material.,NCI,An incision is a hole or opening created in a membrane or tissue during a surgical procedure.
C0280555,None,None,None
C0019270,"Protrusion of tissue, structure, or part of an organ through the bone, muscular tissue, or the membrane by which it is normally contained. Hernia may involve tissues such as the ABDOMINAL WALL or the respiratory DIAPHRAGM. Hernias may be internal, external, congenital, or acquired.",MSH,"Hernia is the protrusion of tissue through the body's normal barriers, may be internal or external, congenital or acquired."
C0021368,"A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function.",MSH,"Injury and destruction of tissues due to reactions, resulting in pain, heat, redness, swelling, and loss of function."
C0205322,Retained; never-ceasing.,NCI,Continuous medical condition that persists and is never resolved or cured.
C0012359,The condition of an anatomical structure's being dilated beyond normal dimensions.,MSH,The description is about an anatomical structure that is enlarged or stretched beyond its normal size.
C0184661,"An activity that produces an effect, or that is intended to alter the course of a disease in a patient or population. This is a general term that encompasses the medical, social, behavioral, and environmental acts that can have preventive, therapeutic, or palliative effects.",NCI,"Medical interventions are actions meant to impact a disease's progression and can include preventive, therapeutic, or palliative measures."
C1285498,None,None,None
C0205093,Situated at or extending to the side.,NCI,Located at or reaching out towards the lateral aspect.
C0038846,The posture of an individual lying face up.,MSH,Lying supine refers to the position where an individual is lying face up on their back.
C0031153,"A membrane of squamous EPITHELIAL CELLS, the mesothelial cells, covered by apical MICROVILLI that allow rapid absorption of fluid and particles in the PERITONEAL CAVITY. The peritoneum is divided into parietal and visceral components. The parietal peritoneum covers the inside of the ABDOMINAL WALL. The visceral peritoneum covers the intraperitoneal organs. The double-layered peritoneum forms the MESENTERY that suspends these organs from the abdominal wall.",MSH,"The peritoneum is a membrane that lines the abdominal cavity, absorbing fluid and supporting abdominal organs through mesentery."
C0006736,"An abnormal concretion occurring mostly in the urinary and biliary tracts, usually composed of mineral salts. Also called stones.",MSH,Stones composed of mineral salts that form in the urinary and biliary tracts are known as concretions.
C1881065,The quality or state of being similar or comparable in kind or nature or of being uniform throughout in composition or structure.,NCI,"The medical keyword refers to the consistency or uniformity of something, whether it is in composition, structure, or nature."
C0003489,"The curved section of the aorta between the ascending and the descending tracts. The brachiocephalic, left common carotid and left subclavian arteries branch from the aorta at this section.",NCI,The aortic arch is the curved section of the aorta where major arteries branch off to the head and arms.
C0031268,"Animals kept by humans for companionship and enjoyment, as opposed to DOMESTIC ANIMALS such as livestock or farm animals, which are kept for economic reasons.",MSH,"Pets are animals kept for companionship, not for economic purposes like farm animals."
C0487742,The extent or measurement of something from side to side.,NCI,The width of an object or structure is the extent or measurement from side to side.
C0016911,"An element of the rare earth family of metals. It has the atomic symbol Gd, atomic number 64, and atomic weight 157.25. Its oxide is used in the control rods of some nuclear reactors.",MSH,"Gadolinium is a rare earth metal with atomic number 64, atomic weight 157.25, and used in nuclear reactors."
C1282913,A ring-shaped structure with every point equidistant from the center.,NCI,"A circle is a ring-shaped structure where every point is equidistant from the center, forming a perfectly round shape."
C0011923,"Any visual display of structural or functional patterns of organs or tissues for diagnostic evaluation. It includes measuring physiologic and metabolic responses to physical and chemical stimuli, as well as ultramicroscopy.",MSH,"Visual representations of organ structures and functions used for diagnostic evaluation, including physiologic and metabolic responses to stimuli."
C0229089,The eye positioned in the right orbit.,NCI,The right eye is situated within the orbital cavity.
C0013216,The use of DRUGS to treat a DISEASE or its symptoms. One example is the use of ANTINEOPLASTIC AGENTS to treat CANCER.,MSH,"Using drugs to treat diseases or symptoms, such as using antineoplastic agents to treat cancer is common practice."
C0806140,The continuous movement characteristic of a liquid or gas.,NCI,Continuous fluid or gas motion in a medical setting is known as flow and is essential for proper function.
C0549177,"Of considerable or relatively great size, extent, or capacity.",NCI,"Significant or substantial in terms of size, range, or ability, pertaining to the medical field."
C0007531,"The blind sac or outpouching area of the LARGE INTESTINE that is below the entrance of the SMALL INTESTINE. It has a worm-like extension, the vermiform APPENDIX.",MSH,"The blind sac in the large intestine below the entrance of the small intestine, with a worm-like appendix."
C0041967,A tube that transports URINE from the URINARY BLADDER to the outside of the body in both the sexes. It also has a reproductive function in the male by providing a passage for SPERM.,MSH,The urethra is a tube in both sexes that transports urine from the bladder and sperm in males.
C0178602,"A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.",NCI,"The amount of a substance or energy given, taken, or absorbed in a single administration or intake."
C0004793,The sequence of PURINES and PYRIMIDINES in nucleic acids and polynucleotides. It is also called nucleotide sequence.,MSH,"Purines and pyrimidines in nucleic acids form the nucleotide sequence, determining the genetic information in DNA and RNA."
C0441833,Any number of entities (members) considered as a unit.,NCI,"A group of individuals forming a collective entity, such as a team of healthcare professionals working together."
C0700320,To cut a an entity into slices.,NCI,Slicing an object into thin sections is a vital technique used in medical research and imaging procedures.
C0030664,A specialty concerned with the nature and cause of disease as expressed by changes in cellular or tissue structure and function caused by the disease process.,MSH,"Medical specialty focused on understanding how diseases alter cells and tissues, revealing the nature and cause of illness."
C0012621,The pouring forth of a fluid.,NCI,A medical keyword meaning fluid discharge or overflow; fluid pouring out or released.
C1261076,"The smaller lobe of the left lung, situated above and in front the oblique fissure, which includes the apex.",NCI,"The superior lobe of the left lung, located above and in front of the oblique fissure, contains the apex."
C0015392,The organ of sight constituting a pair of globular organs made up of a three-layered roughly spherical structure specialized for receiving and responding to light.,MSH,"The eyes are paired spherical organs that detect and react to light, enabling vision in three-layered structures."
